zipcode,cd,state,city,state_fips_code
01704,2505,MA,FRAMINGHAM,25
01718,2503,MA,ACTON,25
01719,2503,MA,BOXBOROUGH,25
01720,2503,MA,ACTON,25
01720,2505,MA,ACTON,25
01721,2502,MA,ASHLAND,25
01730,2505,MA,BEDFORD,25
01730,2506,MA,BEDFORD,25
01731,2505,MA,HANSCOM AFB,25
01731,2506,MA,HANSCOM AFB,25
01740,2503,MA,BOLTON,25
01741,2503,MA,CARLISLE,25
01742,2503,MA,CONCORD,25
01745,2502,MA,FAYVILLE,25
01746,2502,MA,HOLLISTON,25
01746,2504,MA,HOLLISTON,25
01747,2504,MA,HOPEDALE,25
01748,2502,MA,HOPKINTON,25
01749,2503,MA,HUDSON,25
01752,2502,MA,MARLBOROUGH,25
01752,2503,MA,MARLBOROUGH,25
01754,2503,MA,MAYNARD,25
01754,2505,MA,MAYNARD,25
01756,2504,MA,MENDON,25
01757,2502,MA,MILFORD,25
01757,2504,MA,MILFORD,25
01760,2505,MA,NATICK,25
01770,2504,MA,SHERBORN,25
01772,2502,MA,SOUTHBOROUGH,25
01772,2503,MA,SOUTHBOROUGH,25
01773,2503,MA,LINCOLN,25
01773,2505,MA,LINCOLN,25
01775,2503,MA,STOW,25
01775,2505,MA,STOW,25
01776,2505,MA,SUDBURY,25
01778,2505,MA,WAYLAND,25
01784,2502,MA,WOODVILLE,25
01801,2505,MA,WOBURN,25
01803,2506,MA,BURLINGTON,25
01805,2506,MA,BURLINGTON,25
01810,2503,MA,ANDOVER,25
01810,2506,MA,ANDOVER,25
01812,2506,MA,ANDOVER,25
01821,2503,MA,BILLERICA,25
01821,2506,MA,BILLERICA,25
01822,2503,MA,BILLERICA,25
01824,2503,MA,CHELMSFORD,25
01826,2503,MA,DRACUT,25
01827,2503,MA,DUNSTABLE,25
01830,2503,MA,HAVERHILL,25
01831,2503,MA,HAVERHILL,25
01832,2503,MA,HAVERHILL,25
01833,2506,MA,GEORGETOWN,25
01834,2506,MA,GROVELAND,25
01835,2503,MA,HAVERHILL,25
01840,2503,MA,LAWRENCE,25
01841,2503,MA,LAWRENCE,25
01842,2503,MA,LAWRENCE,25
01843,2503,MA,LAWRENCE,25
01843,2506,MA,LAWRENCE,25
01844,2503,MA,METHUEN,25
01845,2503,MA,NORTH ANDOVER,25
01845,2506,MA,NORTH ANDOVER,25
01850,2503,MA,LOWELL,25
01851,2503,MA,LOWELL,25
01852,2503,MA,LOWELL,25
01852,2506,MA,LOWELL,25
01853,2503,MA,LOWELL,25
01854,2503,MA,LOWELL,25
01860,2506,MA,MERRIMAC,25
01862,2503,MA,NORTH BILLERICA,25
01862,2506,MA,NORTH BILLERICA,25
01863,2503,MA,NORTH CHELMSFORD,25
01864,2506,MA,NORTH READING,25
01865,2503,MA,NUTTING LAKE,25
01866,2506,MA,PINEHURST,25
01867,2506,MA,READING,25
01876,2503,MA,TEWKSBURY,25
01876,2506,MA,TEWKSBURY,25
01879,2503,MA,TYNGSBORO,25
01880,2505,MA,WAKEFIELD,25
01880,2506,MA,WAKEFIELD,25
01885,2506,MA,WEST BOXFORD,25
01886,2503,MA,WESTFORD,25
01887,2506,MA,WILMINGTON,25
01888,2505,MA,WOBURN,25
01889,2506,MA,NORTH READING,25
01890,2505,MA,WINCHESTER,25
01899,2506,MA,ANDOVER,25
01901,2506,MA,LYNN,25
01902,2506,MA,LYNN,25
01903,2506,MA,LYNN,25
01904,2506,MA,LYNN,25
01905,2506,MA,LYNN,25
01906,2506,MA,SAUGUS,25
01907,2506,MA,SWAMPSCOTT,25
01908,2506,MA,NAHANT,25
01910,2506,MA,LYNN,25
01913,2506,MA,AMESBURY,25
01915,2506,MA,BEVERLY,25
01921,2506,MA,BOXFORD,25
01922,2506,MA,BYFIELD,25
01923,2506,MA,DANVERS,25
01929,2506,MA,ESSEX,25
01930,2506,MA,GLOUCESTER,25
01931,2506,MA,GLOUCESTER,25
01936,2506,MA,HAMILTON,25
01937,2506,MA,HATHORNE,25
01938,2506,MA,IPSWICH,25
01940,2506,MA,LYNNFIELD,25
01944,2506,MA,MANCHESTER,25
01945,2506,MA,MARBLEHEAD,25
01949,2506,MA,MIDDLETON,25
01950,2506,MA,NEWBURYPORT,25
01951,2506,MA,NEWBURY,25
01952,2506,MA,SALISBURY,25
01960,2506,MA,PEABODY,25
01961,2506,MA,PEABODY,25
01965,2506,MA,PRIDES CROSSING,25
01966,2506,MA,ROCKPORT,25
01969,2506,MA,ROWLEY,25
01970,2506,MA,SALEM,25
01971,2506,MA,SALEM,25
